"Station ID","Station Name","Tier","Sponsor","Installation Date","Data Quality Review Date","Latitude","Longitude","Station Elevation (ft)","County","State","Air Temperature Probe","Second (additional) Air Temperature Probe","Relative Humidity Probe","Rainfall Sensor","Second (additional) Rainfall Sensor","Wind Speed Sensor","Wind Direction Sensor","Leaf Wetness Sensor","Pyranometer","Soil Temperature Probe at 2 inch depth","Soil Temperature Probe at 8 inch depth","Soil Moisture Probe at 8 inch depth","Barometric Pressure Sensor","Station Zone"
"310139","Sunside.NE","Tier 1","WSU AgWeatherNet","2016-02-17","2016-02-18","46.36","119.91","1109","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","3"
"310142","Pomona","Tier 1","WSU AgWeatherNet","1989-03-28","2008-11-01","46.69","120.47","1247","Yakima","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","3"
"310143","Moxee.SE","Tier 1","WSU AgWeatherNet","1989-09-06","2008-04-01","46.54","120.35","1122","Yakima","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","3"
"320098","RoyalCty.W","Tier 1","WSU AgWeatherNet","2008-12-04","2008-12-04","46.97","119.83","1529","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","2"
"330021","Fir.Island","Tier 1","WSU AgWeatherNet","2008-04-03","2008-04-03","48.36","122.42","0","Skagit","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330022","Radar.Hill","Tier 1","WSU AgWeatherNet","2008-02-08","2008-01-01","46.72","119.24","1081","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330023","Frenchman","Tier 1","WSU AgWeatherNet","2008-05-30","2008-05-30","47.02","119.87","1256","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330024","Lawrence","Tier 1","WSU AgWeatherNet","2008-04-28","2008-04-28","48.88","122.32","148","Whatcom","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330025","Ten Mile","Tier 1","WSU AgWeatherNet","2008-04-04","2008-04-04","48.87","122.48","67","Whatcom","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330026","Woodinvill","Tier 1","WSU AgWeatherNet","2008-07-23","2008-07-23","47.75","122.15","47","King","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330027","Wheeler","Tier 1","WSU AgWeatherNet","2008-05-19","2008-05-19","47.14","119.07","1450","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330028","Mae","Tier 1","WSU AgWeatherNet","2008-05-28","2008-05-28","47.07","119.49","1220","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330029","Davenport","Tier 1","WSU AgWeatherNet","2008-07-11","2008-07-11","47.66","118.13","2468","Lincoln","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330030","DesertAire","Tier 1","WSU AgWeatherNet","2008-05-01","2008-05-01","46.71","119.92","608","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330033","George","Tier 1","WSU AgWeatherNet","2008-12-16","2008-12-17","47.09","119.99","1399","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"330035","Chelan.S","Tier 1","WSU AgWeatherNet","2008-10-16","2008-10-16","47.84","120.09","1255","Chelan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330036","Thorp","Tier 1","WSU AgWeatherNet","2008-10-15","2008-10-15","47.08","120.69","1770","Kittitas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330037","Boyd.Dist","Tier 1","WSU AgWeatherNet","2008-10-16","2008-10-16","47.89","120.07","2000","Chelan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330039","Sequim","Tier 1","WSU AgWeatherNet","2008-11-05","2008-11-06","48.09","123.06","100","Clallam","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330040","Ephrata","Tier 1","WSU AgWeatherNet","2008-05-16","2008-05-16","47.18","119.64","1224","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","2"
"330041","RoyalCty.E","Tier 1","WSU AgWeatherNet","2008-02-07","2008-02-07","46.92","119.51","1120","Grant","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","N","2"
"330042","Warden.SW","Tier 1","WSU AgWeatherNet","2008-03-21","2008-03-21","46.93","119.12","1240","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","N","2"
"330043","Broadview","Tier 1","WSU AgWeatherNet","2008-09-29","2008-09-30","46.97","120.50","1492","Kittitas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330046","Waterville","Tier 1","WSU AgWeatherNet","2016-04-13","2016-04-14","47.72","120.07","3102","Douglas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"330047","Mansfield","Tier 1","WSU AgWeatherNet","2016-04-27","2016-04-27","47.92","119.78","2770","Douglas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"330061","Nooksack","Tier 1","WSU AgWeatherNet","2002-05-14","2008-01-01","48.97","122.31","82","Whatcom","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330063","Lynden","Tier 1","WSU AgWeatherNet","2002-05-15","2007-03-16","48.94","122.51","68","Whatcom","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330073","Quincy","Tier 1","WSU AgWeatherNet","1989-01-08","1989-01-08","47.23","119.96","1486","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330078","Orondo","Tier 1","WSU AgWeatherNet","2008-08-11","2008-09-03","47.57","120.25","890","Douglas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330092","Seattle","Tier 1","WSU AgWeatherNet","2011-12-16","2011-12-16","47.66","122.29","30","King","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","1"
"330099","RoyalSlope","Tier 1","WSU AgWeatherNet","2009-03-15","2009-03-15","46.95","119.32","1350","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330100","Chief.Joe","Tier 1","WSU AgWeatherNet","2009-03-26","2009-03-26","48.03","119.64","1625","Okanogan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330101","Mt.Vernon","Tier 1","WSU AgWeatherNet","1993-11-01","1993-11-01","48.44","122.39","23","Skagit","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","1"
"330104","Pogue.Flat","Tier 1","WSU AgWeatherNet","2004-12-16","2008-01-01","48.44","119.53","1263","Okanogan","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","2"
"330115","Sunrise","Tier 1","WSU AgWeatherNet","2008-08-11","2008-08-11","47.31","120.07","875","Douglas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","2"
"330121","Mattawa.E","Tier 1","WSU AgWeatherNet","1989-01-08","2008-01-01","46.70","119.80","851","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330125","Fairfield","Tier 1","WSU AgWeatherNet","2008-06-03","2008-06-03","47.42","117.26","2470","Spokane","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","4"
"330127","Moses.Lake","Tier 1","WSU AgWeatherNet","1989-04-25","2008-05-23","47.00","119.24","1115","Grant","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330141","Wenatch.W","Tier 1","WSU AgWeatherNet","1993-10-06","1993-10-06","47.44","120.35","790","Chelan","WA","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","N","Y","2"
"330146","Oroville.E","Tier 1","WSU AgWeatherNet","2005-09-16","2008-01-01","48.98","119.41","1133","Okanogan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330150","Almira","Tier 1","WSU AgWeatherNet","2008-06-10","2008-06-17","47.87","118.89","2650","Lincoln","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330151","Olympia.E","Tier 1","WSU AgWeatherNet","2010-02-09","2010-02-09","46.95","122.84","200","Thurston","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330153","Tumwater","Tier 1","WA - DNR","2011-08-11","2011-08-11","46.95","122.96","191","Thurston","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","Y","1"
"330157","Tonasket.S","Tier 1","WSU AgWeatherNet","2006-05-15","2009-01-01","48.68","119.46","1169","Okanogan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330158","Loomis.Val","Tier 1","WSU AgWeatherNet","2006-05-16","2008-01-01","48.82","119.52","1422","Okanogan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330159","Sakuma","Tier 1","WSU AgWeatherNet","2006-06-29","2006-12-01","48.50","122.38","28","Skagit","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330162","Snohomish","Tier 1","WSU AgWeatherNet","2006-06-19","2007-12-01","47.90","122.11","0","Snohomish","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330164","Coupeville","Tier 1","WSU AgWeatherNet","2006-06-30","2008-01-01","48.20","122.69","79","Island","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"330165","Wenatch.S","Tier 1","WSU AgWeatherNet","2006-07-26","2006-07-26","47.37","120.31","2321","Chelan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330166","Wenatch.E","Tier 1","WSU AgWeatherNet","2006-11-09","2008-01-01","47.40","120.20","1260","Douglas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330167","Malaga","Tier 1","WSU AgWeatherNet","2006-07-31","2008-01-01","47.36","120.24","964","Chelan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330168","Cashmere.N","Tier 1","WSU AgWeatherNet","2006-07-28","2006-12-31","47.51","120.43","874","Chelan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330169","Arlington","Tier 1","WSU AgWeatherNet","2017-11-16","2017-11-16","48.20","122.23","33","Snohomish","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","1"
"330171","Brewster.N","Tier 1","WSU AgWeatherNet","2006-09-14","2009-01-01","48.13","119.75","1228","Okanogan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330173","Malott","Tier 1","WSU AgWeatherNet","2006-10-20","2008-01-01","48.30","119.68","1329","Okanogan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"330174","Brays.Land","Tier 1","WSU AgWeatherNet","2006-10-26","2007-01-01","47.75","120.16","1329","Douglas","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","2"
"331106","Arrowhead","Tier 1","WSU AgWeatherNet","2005-04-11","2011-11-11","48.06","119.55","1143","Okanogan","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","2"
"344108","Long.Beach","Tier 1","WSU AgWeatherNet","2005-02-08","2008-01-01","46.37","124.03","11","Pacific","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","Y","Y","1"
"344109","Tokeland","Tier 1","WSU AgWeatherNet","2010-05-20","2010-06-01","46.71","123.97","10","Pacific","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","1"
"355001","Poulsbo.S","Tier 1","Kitsap Conservation District","2013-02-26","2013-02-26","47.66","122.65","121","Kitsap","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","N","Y","1"
"360001","Chehalis","Tier 1","WSU AgWeatherNet","2016-02-03","2016-02-02","46.68","122.99","178","Lewis","WA","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","1"
